"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Kevin Padlo","SEA","6","28","25","5","1","0","1","3","3","2","9","0","0","0","",".204",".279",".376",".655",".284","","0.2","0.0","","0.1","","600.3","16593"
"Isan Díaz","MIA","28","119","105","24","5","0","3","13","12","12","31","1","1","1","",".224",".309",".363",".672",".293","","-0.2","-0.2","","0.1","","600.7","17922"
"José Rondón","","10","42","38","9","2","0","2","5","5","3","10","0","1","0","",".234",".288",".408",".697",".299","","-0.1","0.0","","0.1","","999.0","14140"
"Ernie Clement","CLE","11","49","45","11","2","0","1","5","4","3","7","0","1","0","",".249",".294",".345",".638",".279","","0.2","-0.1","","0.1","","999.0","20352"
"Jake Lamb","","52","224","194","41","8","1","7","26","26","24","61","3","1","1","",".209",".303",".372",".675",".297","","-1.4","-0.3","","0.1","","999.0","13329"
"Edwin Ríos","LAD","18","77","69","15","3","0","4","9","11","6","27","1","0","0","",".219",".284",".435",".720",".307","","-0.3","-0.1","","0.0","","569.6","18316"
"Jedd Gyorko","","8","35","31","7","1","0","1","4","4","3","9","0","0","0","",".231",".311",".401",".712",".309","","0.2","-0.1","","0.0","","999.0","10816"
"Maikel Franco","WSN","31","133","123","29","7","0","5","13","17","8","21","1","0","0","",".240",".289",".406",".695",".296","","-0.6","-0.2","","0.0","","600.0","12179"
"Adrián Sanchez","WSN","2","7","7","2","0","0","0","1","1","0","1","0","0","0","",".259",".301",".376",".676",".292","","0.0","0.0","","0.0","","999.0","11338"
"Matt Carpenter","","63","273","231","47","11","1","7","30","28","35","80","5","2","0","",".203",".318",".352",".671",".298","","-0.5","-0.4","","-0.1","","999.0","8090"
