"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Ronald Torreyes","PHI","45","196","181","45","8","1","4","19","20","10","25","2","1","1","",".250",".292",".363",".654",".283","","0.6","-0.1","","0.2","","596.9","11400"
"Ehire Adrianza","","45","196","174","43","9","1","4","23","19","16","40","3","1","1","",".245",".316",".378",".694",".303","","-1.4","-0.2","","0.2","","999.0","8418"
"Alan Trejo","COL","78","336","312","76","16","2","10","38","38","17","78","2","3","2","",".243",".286",".404",".689",".295","","1.3","-0.8","","0.2","","999.0","20056"
"Marwin Gonzalez","","83","357","321","75","14","0","9","37","39","26","83","6","3","2","",".234",".301",".366",".667",".292","","0.0","-0.8","","0.2","","999.0","5497"
"Daniel Robertson","","34","147","126","28","5","0","3","16","12","16","38","3","1","1","",".220",".321",".328",".648",".291","","-0.4","-0.2","","0.2","","999.0","14145"
"CJ Abrams","SDP","16","70","64","16","4","0","1","8","7","4","14","1","3","1","",".246",".296",".362",".658",".287","","0.4","0.1","","0.2","","569.8","sa3010152"
"Geraldo Perdomo","ARI","24","105","92","21","4","1","1","11","8","10","23","2","2","1","",".231",".314",".335",".649",".288","","0.4","-0.2","","0.2","","596.2","22799"
"José Peraza","NYY","21","91","84","21","4","0","2","10","9","4","14","1","2","1","",".251",".299",".377",".675",".293","","-0.5","0.0","","0.2","","600.8","13593"
"Willi Castro","DET","16","70","64","16","3","1","2","8","7","4","16","1","1","1","",".253",".302",".398",".699",".301","","-0.3","0.0","","0.2","","525.6","17338"
"Jordan Groshans","TOR","15","63","57","14","3","0","1","8","6","5","13","0","0","0","",".247",".307",".383",".690",".300","","0.2","0.0","","0.1","","600.4","sa3006893"
"Yairo Muñoz","PHI","18","77","72","20","4","1","2","9","8","4","13","1","2","1","",".279",".318",".415",".733",".315","","-0.1","0.0","","0.1","","999.0","16313"
"Oswaldo Cabrera","NYY","11","49","45","11","2","0","2","6","6","3","12","0","1","1","",".234",".282",".399",".681",".293","","0.2","0.0","","0.1","","999.0","sa916954"
"Jonathan Araúz","BOS","11","49","44","11","2","0","1","6","5","4","9","0","0","0","",".239",".303",".378",".682",".297","","0.2","0.0","","0.1","","999.0","20275"
"Zack Short","DET","8","35","30","6","1","0","1","4","4","4","10","0","0","0","",".207",".307",".372",".680",".298","","0.1","0.0","","0.1","","999.0","19562"
"Ryan Kreidler","DET","6","28","25","6","1","0","1","3","3","2","7","0","1","0","",".239",".299",".386",".685",".297","","0.1","0.0","","0.1","","999.0","sa3010587"
"Chris Owings","","29","126","114","25","5","1","3","13","13","9","39","1","3","1","",".218",".282",".366",".648",".281","","0.5","-0.1","","0.1","","600.7","10030"
"Donovan Walton","SEA","5","21","19","5","1","0","1","2","2","2","3","0","0","0","",".254",".321",".391",".712",".310","","-0.1","-0.1","","0.1","","999.0","19314"
"Brendon Davis","LAA","6","28","25","6","1","0","1","3","3","2","7","0","0","0","",".237",".297",".420",".717",".308","","-0.1","0.0","","0.1","","999.0","sa875089"
"Clay Dungan","KCR","6","28","26","7","1","0","0","3","3","2","4","0","1","0","",".265",".313",".367",".680",".297","","0.1","0.0","","0.1","","999.0","sa1169803"
"José Rondón","","10","42","38","9","2","0","2","5","5","3","10","0","1","0","",".234",".288",".408",".697",".299","","-0.1","0.0","","0.1","","999.0","14140"
"Yolbert Sanchez","CHW","5","21","20","5","1","0","0","2","2","1","3","0","0","0","",".273",".306",".379",".685",".297","","0.0","0.0","","0.1","","999.0","sa3011471"
"Diego Castillo","PIT","6","28","26","6","1","0","1","3","3","2","4","0","0","0","",".248",".305",".378",".683",".298","","-0.1","0.0","","0.0","","600.6","sa872839"
"Nick Maton","PHI","11","49","44","10","2","0","1","5","5","4","13","1","1","0","",".220",".295",".347",".642",".283","","0.1","-0.1","","0.0","","999.0","21635"
"Lucius Fox","WSN","15","63","56","12","3","0","1","7","5","6","16","1","3","1","",".219",".299",".333",".632",".281","","-0.2","0.2","","0.0","","999.0","sa914200"
"Jordy Mercer","","42","182","168","40","9","0","4","17","16","11","41","2","1","0","",".240",".293",".363",".656",".286","","-1.4","-0.2","","0.0","","999.0","6547"
"Pedro Leon","HOU","2","7","6","1","0","0","0","1","1","1","2","0","0","0","",".204",".284",".331",".616",".273","","0.0","0.0","","0.0","","999.0","sa3014838"
"Jeter Downs","BOS","3","14","13","3","1","0","0","2","1","1","4","0","0","0","",".215",".275",".366",".641",".278","","0.0","0.0","","0.0","","598.9","sa3004615"
"Kyle Holder","COL","3","14","13","3","1","0","0","1","1","1","3","0","0","0","",".241",".295",".349",".643",".282","","0.0","0.0","","0.0","","999.0","sa857840"
"Anderson Tejeda","STL","2","7","6","1","0","0","0","1","1","0","3","0","0","0","",".184",".236",".315",".550",".240","","0.0","0.0","","0.0","","999.0","19909"
"Richie Martin","BAL","8","35","32","7","1","0","1","3","3","2","9","1","1","0","",".221",".283",".328",".611",".270","","-0.2","-0.1","","0.0","","999.0","17736"
"Wilmer Difo","","31","133","120","29","4","1","2","14","11","11","29","1","1","1","",".239",".303",".338",".641",".282","","-0.2","-0.1","","0.0","","999.0","14320"
"Omar Estévez","LAD","8","35","32","7","1","0","1","4","3","3","9","0","0","0","",".211",".272",".330",".602",".264","","0.0","0.0","","0.0","","999.0","sa914242"
"Logan Warmoth","TOR","8","35","31","6","1","0","1","4","3","3","12","1","1","0","",".197",".277",".304",".581",".260","","0.1","0.0","","-0.1","","999.0","sa3004813"
"Alcides Escobar","WSN","118","511","471","116","24","1","8","55","47","26","92","7","4","1","",".246",".294",".354",".648",".283","","-4.4","0.3","","-0.1","","582.3","6310"
"Ian Desmond","COL","63","273","248","57","12","2","9","32","32","20","70","2","4","2","",".229",".291",".401",".692",".298","","-3.3","-0.2","","-0.2","","999.0","6885"
"Scott Kingery","PHI","39","168","153","33","8","1","4","18","16","11","52","2","3","1","",".215",".272",".363",".635",".275","","-0.6","0.3","","-0.2","","600.3","17975"
