"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Andrew McCutchen","","133","574","489","114","23","1","23","75","72","74","131","5","7","2","",".234",".337",".424",".762",".331","","-1.4","-1.1","","1.2","","353.5","9847"
"Kole Calhoun","TEX","105","455","401","92","18","1","19","57","54","44","109","5","3","1","",".229",".311",".423",".734",".316","","1.0","-0.6","","1.1","","481.0","11200"
"Michael A. Taylor","KCR","125","539","493","116","24","2","14","57","54","35","151","4","14","6","",".235",".290",".375",".664",".288","","4.9","0.3","","1.1","","455.2","11489"
"Riley Greene","DET","52","224","201","53","9","2","8","29","28","18","59","2","4","1","",".265",".330",".455",".785",".336","","-1.1","0.3","","1.1","","307.7","sa3010694"
"Jake Fraley","SEA","94","406","350","80","16","2","14","46","49","46","112","5","13","5","",".229",".324",".403",".727",".316","","-1.7","0.0","","1.1","","593.8","19260"
"Lane Thomas","WSN","113","490","431","103","22","3","16","65","57","49","128","4","11","5","",".239",".321",".417",".738",".319","","0.8","-0.5","","1.1","","250.4","16939"
"Willie Calhoun","TEX","123","532","483","126","23","3","20","64","63","40","77","5","2","1","",".262",".322",".445",".767",".329","","-1.7","-1.4","","1.1","","433.6","17838"
"J.D. Davis","NYM","73","315","276","70","14","1","10","36","36","31","83","5","2","0","",".254",".338",".423",".761",".330","","-2.1","-0.4","","1.0","","454.6","16219"
"Leury García","CHW","112","483","440","114","20","3","8","55","46","30","103","4","7","3","",".259",".311",".370",".681",".298","","-1.7","0.5","","1.0","","492.6","5913"
"Kyle Isbel","KCR","100","434","393","99","20","4","11","53","45","31","97","5","13","4","",".253",".314",".405",".719",".311","","0.7","0.7","","1.0","","509.9","21614"
"Austin Slater","SFG","75","322","282","70","14","2","9","39","34","32","86","5","11","3","",".247",".334",".409",".743",".323","","0.6","1.0","","1.0","","561.2","16153"
"Odúbel Herrera","","73","315","288","76","16","1","9","38","36","20","53","4","4","1","",".265",".317",".425",".742",".320","","-1.5","0.1","","1.0","","585.1","11476"
"Tyler Naquin","CIN","122","525","481","125","26","2","19","60","71","33","126","5","5","3","",".259",".312",".440",".752",".321","","-1.0","-0.6","","0.9","","374.2","13359"
"Jason Heyward","CHC","97","420","372","91","16","3","12","48","46","41","82","4","5","2","",".244",".323",".397",".720",".313","","3.1","0.5","","0.9","","598.5","4940"
"Tyrone Taylor","MIL","110","476","430","104","20","3","18","57","63","31","110","8","8","2","",".241",".303",".428",".731",".313","","2.0","0.3","","0.9","","471.7","13675"
"Chas McCormick","HOU","70","301","267","64","10","1","10","35","36","27","81","3","5","2","",".238",".311",".391",".703",".306","","2.5","-0.2","","0.9","","453.8","19599"
