"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Sergio Alcántara","CHC","111","385","338","75","10","2","6","42","26","41","99","2","6","2","",".222",".308",".317",".625",".280","","0.0","4.6","","-13.9","8.8","0.8","","999.0","16417"
"Noelvi Marte","SEA","112","534","495","108","17","1","20","63","65","36","138","3","13","3","",".218",".275",".378",".653",".283","","1.0","-5.6","","-10.9","0.3","0.7","","999.0","sa3008745"
"José Peraza","NYY","115","373","346","87","16","1","9","44","38","18","55","6","7","3","",".251",".298",".382",".680",".294","","-0.1","-0.1","","-6.6","1.3","0.7","","600.8","13593"
"Andrew Navigato","DET","97","368","333","71","12","1","8","41","31","25","91","5","7","4","",".213",".276",".327",".603",".266","","-0.6","6.7","","-16.0","10.8","0.7","","999.0","sa3010703"
"Greg Jones","TBR","73","322","294","63","10","2","7","33","26","23","103","4","18","3","",".214",".280",".333",".613",".270","","2.1","0.6","","-8.1","4.1","0.7","","999.0","sa3010151"
"Jose Fermin","CLE","102","405","371","95","14","2","8","55","37","21","52","8","6","5","",".256",".308",".369",".678",".297","","-1.2","-0.4","","-7.9","1.1","0.7","","999.0","sa917339"
"CJ Abrams","SDP","50","217","199","48","10","1","4","29","22","13","47","2","11","3","",".241",".292",".362",".653",".285","","0.8","2.2","","-4.9","4.6","0.7","","569.8","sa3010152"
"Nick Loftin","KCR","98","443","410","106","20","2","9","64","45","26","68","5","6","1","",".259",".310",".383",".693",".302","","0.4","-7.1","","-5.9","-2.3","0.7","","999.0","sa3014511"
"Terrin Vavra","BAL","76","339","299","73","14","2","7","39","27","33","71","2","8","4","",".244",".320",".375",".695",".305","","-0.4","-1.6","","-4.3","-0.3","0.7","","999.0","sa3007643"
"Matt Batten","SDP","126","496","453","108","16","2","7","59","33","38","139","1","19","5","",".238",".298",".329",".626",".277","","1.3","-0.6","","-14.5","4.9","0.7","","999.0","sa3004179"
"Tyler Fitzgerald","SFG","98","415","382","80","18","1","11","44","40","26","128","5","7","2","",".209",".268",".348",".616",".269","","0.3","7.3","","-16.0","8.8","0.7","","999.0","sa3011257"
"Jed Lowrie","","120","440","395","93","23","0","11","45","58","40","94","2","0","0","",".235",".307",".377",".684",".298","","-0.3","-5.3","","-4.9","-3.6","0.6","","594.2","4418"
"Jack Mayfield","LAA","111","420","387","89","20","1","15","46","51","23","91","4","6","1","",".230",".278",".403",".681",".292","","0.5","-1.1","","-8.3","0.4","0.6","","999.0","15402"
"Nick Allen","OAK","96","406","372","87","17","2","7","49","38","24","86","3","8","5","",".234",".284",".347",".630",".275","","-0.8","0.6","","-12.7","5.1","0.6","","999.0","sa3004723"
"Diego Castillo","PIT","113","466","426","106","23","1","10","49","38","32","63","4","7","3","",".249",".306",".378",".684",".299","","-0.2","-2.3","","-8.6","-0.6","0.6","","600.6","sa872839"
"Geraldo Perdomo","ARI","102","431","377","85","13","4","5","47","28","43","95","7","10","7","",".225",".315",".321",".636",".284","","-1.3","2.8","","-15.8","7.6","0.6","","596.2","22799"
"Liover Peguero","PIT","98","444","415","96","18","2","8","49","35","23","115","2","19","4","",".231",".274",".342",".616",".268","","1.8","3.5","","-17.2","8.4","0.6","","999.0","sa3005582"
"Tristan Gray","TBR","99","391","353","72","16","3","10","41","38","30","112","4","1","4","",".204",".272",".351",".623",".272","","-1.7","1.6","","-13.6","5.9","0.6","","999.0","sa829756"
"Jesus Bastidas","NYY","77","245","220","48","6","0","9","31","31","17","63","4","6","2","",".218",".284",".368",".652",".285","","0.2","2.3","","-6.0","3.2","0.5","","999.0","sa916969"
"Elliot Soto","","87","330","301","71","12","3","4","38","26","24","75","3","4","2","",".236",".298",".336",".633",".280","","-0.3","1.3","","-10.5","5.0","0.5","","999.0","11155"
"Braden Shewmake","ATL","87","365","344","79","16","2","10","36","37","18","81","2","5","2","",".230",".271",".375",".646",".279","","-0.1","3.2","","-14.0","7.3","0.5","","999.0","sa3010332"
"Marwin Gonzalez","","102","376","340","78","14","0","9","37","42","27","88","6","2","2","",".229",".296",".350",".646",".284","","-0.7","0.8","","-9.8","2.2","0.5","","999.0","5497"
"Ivan Johnson","CIN","85","360","333","77","15","1","12","39","38","24","107","3","7","4","",".231",".289",".390",".679",".295","","-0.5","0.0","","-10.8","4.0","0.5","","999.0","sa1169627"
"Daniel Robertson","","91","280","240","53","9","0","5","30","20","31","74","7","1","1","",".221",".326",".321",".647",".292","","-0.5","0.2","","-7.7","3.3","0.5","","999.0","14145"
"Orelvis Martinez","TOR","103","466","434","98","19","1","22","53","68","26","128","4","2","1","",".226",".275",".426",".702",".300","","-0.3","-7.3","","-8.8","-2.1","0.5","","999.0","sa3010692"
"Taylor Motter","","88","326","289","63","14","2","11","37","35","32","81","2","2","2","",".218",".298",".394",".693",".300","","-0.7","-0.5","","-6.9","0.7","0.5","","999.0","12399"
"Asdrúbal Cabrera","CIN","105","385","343","82","19","1","13","43","58","36","87","2","1","0","",".239",".312",".414",".726",".312","","-0.1","-4.0","","-5.4","-2.6","0.5","","599.8","4962"
"Cadyn Grenier","BAL","109","453","404","78","16","2","9","51","37","39","153","7","7","3","",".193",".274",".309",".584",".261","","-0.2","6.2","","-22.0","11.2","0.5","","999.0","sa3008140"
"Tyler Wade","LAA","129","344","309","69","13","3","4","44","21","29","87","3","19","6","",".223",".295",".324",".619",".274","","1.0","0.2","","-11.2","4.0","0.4","","462.7","15730"
"Chad De La Guerra","","58","231","212","48","11","1","7","24","21","17","68","2","4","1","",".226",".290",".387",".677",".294","","0.2","0.9","","-5.3","1.7","0.4","","999.0","sa875729"
"C.J. Chatham","","94","378","353","92","17","1","5","39","30","16","80","3","3","2","",".261",".295",".357",".652",".282","","-0.5","1.2","","-13.7","5.4","0.4","","999.0","sa873984"
"Daniel Pinero","DET","102","406","365","78","19","2","9","42","38","32","106","5","3","4","",".214",".284",".351",".635",".278","","-1.4","3.1","","-14.3","4.6","0.4","","999.0","sa738204"
"Ryan Fitzgerald","BOS","110","438","402","93","20","3","9","45","41","28","107","4","4","5","",".231",".286",".363",".649",".283","","-1.6","0.7","","-16.3","5.5","0.4","","999.0","sa3006218"
"Sean Kazmar Jr.","","81","277","257","56","11","1","7","26","23","15","49","2","2","0","",".218",".264",".350",".615",".265","","0.2","7.4","","-13.5","8.4","0.4","","999.0","7349"
"José Rondón","","77","214","197","45","8","1","9","25","27","14","52","1","3","1","",".228",".280",".416",".697",".298","","0.0","-0.7","","-3.1","0.1","0.4","","999.0","14140"
"Joseph Ortiz","BAL","45","194","179","41","7","1","4","20","15","13","38","2","3","0","",".229",".289",".346",".635",".279","","0.4","1.2","","-5.9","3.4","0.4","","999.0","sa3009889"
"Allen Córdoba","CIN","91","377","343","85","18","2","6","49","36","21","73","9","9","7","",".248",".307",".364",".671",".294","","-1.4","2.4","","-12.3","3.8","0.4","","999.0","15722"
"Max Schuemann","OAK","118","494","449","95","21","2","7","50","34","30","116","11","26","5","",".212",".276",".314",".590",".262","","2.7","-1.3","","-17.0","4.2","0.4","","999.0","sa3007511"
"Ji-hwan Bae","PIT","95","411","373","90","15","4","7","44","30","31","95","3","16","7","",".241",".303",".359",".662",".290","","-0.1","-1.1","","-10.2","0.4","0.4","","999.0","sa3006895"
"Jacob Amaya","LAD","120","509","465","100","19","2","12","58","52","35","114","2","4","1","",".215",".271",".342",".613",".268","","0.0","2.3","","-21.0","7.9","0.4","","999.0","sa3005081"
"Ford Proctor","TBR","104","433","380","79","15","1","7","50","34","45","118","3","4","4","",".208",".295",".308",".603",".270","","-1.2","-3.9","","-15.1","4.1","0.4","","999.0","sa876187"
"Vimael Machín","OAK","112","449","394","89","17","2","7","52","38","45","91","4","3","1","",".226",".309",".332",".642",".283","","-0.2","-2.6","","-10.6","-0.9","0.4","","999.0","17684"
"Yadiel Rivera","","103","285","269","58","8","1","6","28","25","11","81","1","9","4","",".216",".247",".320",".567",".246","","-0.1","6.3","","-15.8","9.5","0.3","","999.0","11863"
"Pedro Leon","HOU","79","332","296","58","9","1","9","42","32","31","110","5","14","7","",".196",".283",".324",".607",".270","","-0.4","0.3","","-12.1","4.0","0.3","","999.0","sa3014838"
"Alan Trejo","COL","120","448","416","97","20","2","13","49","47","22","111","3","2","4","",".233",".275",".385",".659",".283","","-1.6","6.8","","-23.4","11.7","0.3","","999.0","20056"
"Pete Kozma","","109","436","402","82","19","2","4","42","31","25","92","4","4","1","",".204",".255",".291",".546",".241","","0.1","8.4","","-24.9","13.2","0.3","","999.0","2539"
"Jeter Downs","BOS","110","454","409","87","18","2","14","51","45","32","130","4","17","4","",".213",".273",".369",".643",".278","","1.4","-1.9","","-15.4","3.1","0.3","","598.9","sa3004615"
