Name,dollar_value,status,ADP,Dollars,ADP2,reg_estimate,sean_value
Josh Reddick,7.475587172858412,,575.3,$2.0,330970.08999999997,3.610914963901971,3.864672208956441
Tim Locastro,7.644293108285973,,598.8,($1.3),358561.43999999994,3.8352098062310773,3.809083302054896
Brusdar Graterol,7.36,,578,$7.0,334084,3.6326084474548774,3.727391552545123
Raisel Iglesias,19.05,,115.7,$12.4,13386.49,15.341273892226367,3.708726107773634
Jose Abreu,21.452316117065354,,76.6,$20.2,5867.5599999999995,17.7546349066626,3.697681210402756
Nathan Eovaldi,11.7,,269.2,$12.9,72468.64,8.012835382181471,3.687164617818528
Yusei Kikuchi,7.04,,503,$8.1,253009,3.4236220510554776,3.6163779489445225
Cesar Hernandez,12.491672245453882,,245,$4.6,60025,8.941065000277472,3.55060724517641
Javier Baez,24.126743655876187,,34.4,$18.2,1183.36,20.608377056662373,3.518366599213813
Jon Berti,12.35667468967575,,247.1,($0.4),61058.409999999996,8.85714732344525,3.499527366230499
Adam Haseley,7.124815780761021,,585.4,$0.7,342693.16,3.6974899154821914,3.4273258652788297
David Peralta,12.156655561954711,,248.9,$9.1,61951.21000000001,8.78572745643068,3.3709281055240314
Hunter Dozier,14.292386880652169,,199,$9.8,39601,10.939870730862012,3.3525161497901568
Hanser Alberto,6.737604630565581,,506.3,($2.8),256339.69,3.415642321210852,3.321962309354729
Ty France,7.026994046527633,,590.6,($2.2),348808.36000000004,3.7478382876087237,3.279155758918909
Rougned Odor,12.752274231418582,,231.5,$1.0,53592.25,9.495822888018811,3.256451343399771
Marcus Semien,19.669128664798357,,97.7,$12.9,9545.29,16.42471501969274,3.2444136451056167
Christin Stewart,6.994768183438668,,595,$1.0,354025,3.7935068885552097,3.2012612948834587
Tony Kemp,6.9725821794644585,,594.9,($5.1),353906.00999999995,3.792437752812667,3.1801444266517915
Garrett Cooper,6.509190070725084,,506.3,($1.5),256339.69,3.415642321210852,3.0935477495142316
Edward Olivares,6.809541896735477,,589.8,($1.4),347864.0399999999,3.73983687318597,3.069705023549507
Adam Eaton,13.625554172344742,,205.7,$8.0,42312.49,10.629627090539032,2.9959270818057107
Bryan Reynolds,14.293325290995455,,191.1,$10.8,36519.21,11.314052737480353,2.979272553515102
Kolten Wong,13.077495602951588,,217,$2.6,47089,10.121144825805978,2.9563507771456106
Todd Frazier,6.412928588498412,,559,($2.9),312481,3.5024312145721943,2.9104973739262174
Kyle Schwarber,17.79773386898982,,122.5,$14.5,15006.25,14.944215211360788,2.8535186576290315
Carlos Correa,18.507174608224833,,105.7,$15.0,11172.49,15.937378561101557,2.569796047123276
Tony Gonsolin,5.9399999999999995,,555.4,$7.4,308469.16,3.4836718434300145,2.456328156569985
Khris Davis,14.389353615742479,,176.8,$10.9,31258.240000000005,12.01441343426678,2.374940181475699
Michael Brantley,16.733339386904937,,131.8,$15.6,17371.24,14.412047729074567,2.32129165783037
Buster Posey,5.7289579998300555,,549.8,$7.2,302280.04,3.4582303516134125,2.270727648216643
Jake Lamb,5.684024147848905,,537.7,($4.2),289121.29000000004,3.418804805337575,2.2652193425113296
J.D. Martinez,23.625404626419932,,23.7,$25.4,561.6899999999999,21.373043415435994,2.2523612109839384
Rhys Hoskins,16.942398066222616,,126.5,$11.4,16002.25,14.713787098487163,2.2286109677354524
Willie Calhoun,12.956768251657772,,202.3,$9.6,40925.29000000001,10.786249720375697,2.1705185312820756
C.J. Cron,12.866848925567435,,199.9,$6.5,39960.01,10.897817300786105,1.96903162478133
Andrew Benintendi,16.805312466577977,,122.5,$11.7,15006.25,14.944215211360786,1.8610972552171905
Carter Kieboom,8.583720010542528,,307.1,($0.3),94310.41000000002,6.729963634283628,1.8537563762589002
James McCann,5.48975619969162,,464,$5.8,215296,3.637676962713349,1.8520792369782715
Jose Altuve,22.082505326963275,,39.7,$17.3,1576.0900000000001,20.235772577282045,1.8467327496812302
Justin Turner,15.143993960406311,,149.8,$11.1,22440.040000000005,13.417716069369227,1.7262778910370837
Jay Bruce,5.10490316354082,,547.5,($1.2),299756.25,3.4491000979316166,1.6558030656092035
Josh Donaldson,18.757377197354206,,85.8,$14.3,7361.639999999999,17.16681765080484,1.5905595465493647
Ryan Braun,11.611402347786084,,218,$6.5,47524,10.07703923209682,1.5343631156892652
Enrique Hernandez,5.021852261976057,,564.7,($4.6),318886.09,3.535981461049116,1.485870800926941
Chris Archer,4.72,,511.5,$3.5,261632.25,3.40627660686057,1.3137233931394299
Tyler Rogers,4.77,,489.3,$2.0,239414.49000000002,3.4736558488900284,1.2963441511099711
Scott Kingery,13.729738146839992,,168,$2.2,28224,12.46016039361737,1.269577753222622
Paul Goldschmidt,18.962640482773228,,77.4,$15.4,5990.760000000001,17.70303256891205,1.2596079138611778
Chris Bassitt,5.99,,382,$5.6,145924,4.807962819817735,1.182037180182265
Noah Syndergaard,4.859999999999999,,598.2,$7.3,357843.24000000005,3.8284857653725535,1.031514234627446
Trevor May,4.53,,563.7,$5.9,317757.69000000006,3.529754287614663,1.0002457123853374
Yandy Diaz,8.43423498755567,,285.5,$1.0,81510.25,7.435542075073479,0.9986929124821904
Carlos Santana,14.861525415950375,,141.6,$9.6,20050.559999999998,13.864856180597917,0.9966692353524582
Yan Gomes,4.407377236389004,,540.6,$4.7,292248.36000000004,3.4263172458251954,0.9810599905638084
Ryan Zimmerman,4.588857543643647,,577,($4.6),332929,3.624450423708883,0.9644071199347644
Tyler O'Neill,4.34846515658777,,506.6,($2.6),256643.56000000003,3.4149952866511617,0.9334698699366086
Asdrubal Cabrera,4.266945242872114,,543.4,($4.5),295283.56,3.4347291468277508,0.8322160960443634
Marwin Gonzalez,4.215167558393037,,547.6,($5.6),299865.76,3.449481096044331,0.7656864623487056
Shogo Akiyama,9.081310100801419,,260.9,$2.0,68068.80999999998,8.321615641681543,0.759694459119876
Yasiel Puig,10.05293948825852,,234.6,$3.0,55037.159999999996,9.366093791074384,0.6868456971841361
