"","Name","Team","position","marginal_total_points","dollar_value","auction_value","status"
"175","Jake Brentz","KCR","pitcher",-0.39,-1.31,-1.99865956536425,""
"176","Phil Bickford","LAD","pitcher",-0.39,-1.32,-2.0139165086113,""
"177","Richard Bleier","MIA","pitcher",-0.4,-1.33,-2.02917345185836,""
"178","Joely Rodríguez","NYY","pitcher",-0.4,-1.34,-2.04443039510542,""
"179","Craig Stammen","SDP","pitcher",-0.42,-1.36,-2.07494428159953,""
"180","Mitch Keller","PIT","pitcher",-0.42,-1.36,-2.07494428159953,""
"181","Deolis Guerra","OAK","pitcher",-0.42,-1.36,-2.07494428159953,""
"182","Jason Heyward","CHC","of",-0.406517053019231,-1.37664995996246,-2.10034703102082,""
"183","Jordan Hicks","STL","pitcher",-0.45,-1.41,-2.1512289978348,""
"184","Alcides Escobar","WSN","ss",-0.418615539493626,-1.41762088798843,-2.16285614338797,""
"185","Richard Rodríguez",NA,"pitcher",-0.45,-1.42,-2.16648594108186,""
"186","Kyle Freeland","COL","pitcher",-0.45,-1.42,-2.16648594108186,""
"187","Colin Moran",NA,"1b, 3b",-0.423951679955788,-1.43569146460762,-2.19042631958002,""
"188","Brent Suter","MIL","pitcher",-0.46,-1.44,-2.19699982757597,""
"189","Brooks Raley","TBR","pitcher",-0.46,-1.45,-2.21225677082302,""
"190","Josh Sborz","TEX","pitcher",-0.47,-1.45,-2.21225677082302,""
"191","Victor Reyes","DET","of",-0.428966425361478,-1.45267365271189,-2.21633594759178,""
"192","Keston Hiura","MIL","2b",-0.442437170946422,-1.49829166856742,-2.2859350954869,""
"193","Michael Lorenzen","LAA","pitcher",-0.49,-1.5,-2.2885414870583,""
"194","Keegan Akin","BAL","pitcher",-0.5,-1.52,-2.31905537355241,""
"195","Robinson Canó","NYM","2b",-0.450687079192344,-1.52622957614619,-2.32855980252397,""
"196","Tomás Telis","LAD","catcher",-3.40777371555232,-1.54025769456291,-2.34996242317866,""
"197","Connor Brogdon","PHI","pitcher",-0.52,-1.55,-2.36482620329358,""
"198","David Peterson","NYM","pitcher",-0.54,-1.59,-2.4258539762818,""
"199","David Robertson",NA,"pitcher",-0.54,-1.59,-2.4258539762818,""
"200","Daulton Jefferies","OAK","pitcher",-0.55,-1.61,-2.45636786277591,""
"201","Anthony Bass","MIA","pitcher",-0.56,-1.62,-2.47162480602297,""
"202","Hansel Robles",NA,"pitcher",-0.57,-1.65,-2.51739563576413,""
"203","Chas McCormick","HOU","of",-0.492948794287729,-1.66934679093928,-2.54691292490145,""
"204","Amir Garrett","CIN","pitcher",-0.59,-1.67,-2.54790952225824,""
"205","Tommy Kahnle","LAD","pitcher",-0.59,-1.68,-2.5631664655053,""
"206","Randy Dobnak","MIN","pitcher",-0.6,-1.7,-2.59368035199941,""
"207","Joe Ross","WSN","pitcher",-0.62,-1.72,-2.62419423849352,""
"208","Dillon Peters","PIT","pitcher",-0.62,-1.73,-2.63945118174057,""
"209","Brad Boxberger",NA,"pitcher",-0.62,-1.74,-2.65470812498763,""
"210","Brad Wieck","CHC","pitcher",-0.62,-1.74,-2.65470812498763,""
"211","Austin Barnes","LAD","catcher",-3.46891248217143,-1.74730111375835,-2.66584739281278,""
"212","Antonio Senzatela","COL","pitcher",-0.63,-1.76,-2.68522201148174,""
"213","Jarlín García","SFG","pitcher",-0.65,-1.79,-2.73099284122291,""
"214","Miguel Castro","NYM","pitcher",-0.66,-1.8,-2.74624978446996,""
"215","Ryan Tepera",NA,"pitcher",-0.67,-1.82,-2.77676367096407,""
"216","Erick Fedde","WSN","pitcher",-0.68,-1.85,-2.82253450070524,""
"217","Joe Kelly",NA,"pitcher",-0.69,-1.85,-2.82253450070524,""
"218","Julian Merryweather","TOR","pitcher",-0.69,-1.85,-2.82253450070524,""
"219","Spencer Patton","TEX","pitcher",-0.72,-1.91,-2.91407616018757,""
"220","Tim Hill","SDP","pitcher",-0.73,-1.93,-2.94459004668168,""
"221","Andrés Muñoz","SEA","pitcher",-0.73,-1.93,-2.94459004668168,""
"222","Caleb Smith","ARI","pitcher",-0.75,-1.97,-3.0056178196699,""
"223","Martín Pérez",NA,"pitcher",-0.75,-1.97,-3.0056178196699,""
"224","Phil Maton","HOU","pitcher",-0.75,-1.98,-3.02087476291696,""
"225","Sam Coonrod","PHI","pitcher",-0.76,-1.99,-3.03613170616401,""
"226","Chris Martin",NA,"pitcher",-0.77,-2.01,-3.06664559265812,""
"227","Casey Sadler","SEA","pitcher",-0.77,-2.01,-3.06664559265812,""
"228","Seth Beer","ARI","1b, dh",-0.596412683406475,-2.01972215097649,-3.08147862322689,""
"229","Josh Taylor","BOS","pitcher",-0.78,-2.02,-3.08190253590518,""
"230","Clay Holmes","NYY","pitcher",-0.78,-2.02,-3.08190253590518,""
