"playerid","NFBC_ADP"
"14169",NA
"18126",306.69
"2520",67.69
"14120",176.23
"16939",247.92
"18900",499.69
"5913",455.85
"18365",559.23
"14352",744.77
"15906",749.85
"3548",25.62
"19942",NA
"18555",750.08
"7185",NA
"sa3008598",146.08
"9205",NA
"17995",66.38
"9077",336.08
"15043",247.46
"19238",142.54
"15474",41.38
"13470",197.31
"sa914200",NA
"17839",NA
"18568",302.92
"2882",NA
"sa736690",749.92
"22217",598.15
"15689",93.38
"13345",681.77
"20391",145.15
"20391",477.46
"20391",636.85
"23735",145.15
"23735",477.46
"23735",636.85
"6984",145.15
"6984",477.46
"6984",636.85
"20391",145.15
"20391",477.46
"20391",636.85
"23735",145.15
"23735",477.46
"23735",636.85
"6984",145.15
"6984",477.46
"6984",636.85
"20332",NA
"16451",NA
"sa917344",NA
"22815",301.77
"19858",708.92
"20043",15.85
"15890",182.23
"15905",408.62
"16622",151.31
"14288",NA
"11752",674.46
"13355",NA
"sa918048",NA
"14811",273.31
"16918",426.77
"sa915799",NA
"sa3005068",657.08
"5524",473.23
"17023",NA
"12179",678.08
"13608",NA
"11493",23.46
"2829",567.08
"14712",321.85
"10324",195.69
"15467",324.23
"NA",NA
"12533",40.54
"13431",188.08
"8004",NA
"sa828703",NA
"11445",268.31
"18032",NA
"4264",116.77
"16042",NA
"6876",NA
"6887",569.69
"6902",745.23
"5497",NA
"15764",NA
"9393",NA
"12022",NA
"12863",261.23
"17710",604.15
"8090",NA
"16505",188.62
"NA",NA
"13836",600.54
"19647",NA
"3353",NA
"5631",NA
"NA",660.08
"3950",NA
"sa917924",527.08
"1890",NA
"14344",51.92
"sa3004019",NA
"4776",NA
"13799",NA
"19318",625.77
"4298",NA
"12804",741.46
"15440",702.46
"16530",650.46
"20080",NA
"13743",64.77
"12144",275.38
"sa919118",NA
"NA",521.38
"14556",NA
"13301",166
"3137",17.85
"17750",745.54
"10059",292.69
"17109",NA
"11156",501.62
"11489",410.62
"sa829681",NA
"4106",249.69
"NA",747.31
"17321",552.92
"16376",197.62
"11903",NA
"13218",326.85
"16285",NA
"19853",707.08
"17282",161.23
"14843",555.54
"12977",NA
"5372",404.69
"14078",468.15
"20100",NA
"sa830303",NA
"19956",NA
"NA",NA
"15878",658.92
"1744",510.46
"15684",NA
