"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Jonathan Araúz","BOS","13","52","46","11","2","0","1","6","6","4","9","0","0","0","",".245",".308",".386",".695",".302","86","","0.0","0.0","","-0.9","0.3","0.1","","999.0","20275"
"Daniel Robertson","","34","137","118","26","5","0","3","14","12","15","35","2","1","0","",".220",".315",".334",".649",".290","81","","-0.1","-0.9","","-3.4","0.0","0.1","","999.0","14145"
"Brendon Davis","LAA","6","26","24","6","1","0","1","3","3","2","6","0","0","0","",".246",".306",".435",".741",".318","101","","0.0","0.0","","0.0","0.1","0.1","","999.0","sa875089"
"Ryan Kreidler","DET","6","26","24","6","1","0","1","3","3","2","7","0","0","0","",".245",".304",".397",".700",".303","91","","0.0","0.0","","-0.3","0.3","0.1","","999.0","sa3010587"
"Zack Short","DET","8","32","28","6","1","0","1","3","3","3","9","0","0","0","",".210",".305",".369",".674",".296","86","","0.0","0.1","","-0.6","0.4","0.1","","999.0","19562"
"Nick Maton","PHI","13","51","46","10","2","0","1","5","5","4","13","1","1","0","",".229",".304",".360",".664",".292","79","","0.0","0.2","","-1.4","0.6","0.1","","999.0","21635"
"Donovan Walton","SEA","6","25","23","6","1","0","1","3","3","2","4","0","0","0","",".251",".319",".379",".698",".305","97","","0.0","-0.1","","-0.1","0.1","0.1","","999.0","19314"
"Clay Dungan","KCR","6","26","24","6","1","0","0","3","3","1","4","0","1","0","",".264",".312",".374",".686",".299","86","","0.0","0.0","","-0.5","0.2","0.1","","999.0","sa1169803"
"Yolbert Sanchez","CHW","5","20","18","5","1","0","0","2","2","1","3","0","0","0","",".270",".308",".388",".696",".301","90","","0.0","0.0","","-0.2","0.1","0.1","","999.0","sa3011471"
"José Rondón","","10","38","35","8","2","0","1","4","4","3","9","0","0","0","",".240",".296",".400",".697",".301","91","","-0.1","-0.1","","-0.5","-0.3","0.0","","999.0","14140"
"Diego Castillo","PIT","6","26","24","6","1","0","1","3","3","2","3","0","0","0","",".247",".304",".377",".681",".297","85","","0.0","0.0","","-0.5","0.1","0.0","","600.6","sa872839"
"Lucius Fox","WSN","15","59","53","12","3","0","1","6","5","5","13","1","2","1","",".230",".303",".333",".636",".283","73","","0.0","0.0","","-2.0","0.4","0.0","","999.0","sa914200"
"Pedro Leon","HOU","2","7","6","1","0","0","0","1","1","1","2","0","0","0","",".212",".286",".339",".624",".275","74","","0.0","0.0","","-0.2","0.1","0.0","","999.0","sa3014838"
"Josh H. Smith","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".264",".328",".414",".742",".322","105","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3011703"
"Ford Proctor","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".304",".341",".645",".286","85","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa876187"
"Austin Martin","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".327",".355",".683",".303","91","","0.0","0.0","","0.0","0.0","0.0","","600.2","sa3014454"
"Gabriel Arias","CLE","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".258",".304",".397",".701",".303","91","","0.0","0.0","","0.0","0.0","0.0","","599.5","sa3004047"
