"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Elliot Soto","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".287",".312",".598",".266","65","","0.0","0.0","","0.0","0.0","0.0","","999.0","11155"
"Marco Hernández","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".248",".278",".351",".629",".273","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","13154"
"Alex Blandino","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".312",".323",".636",".286","78","","0.0","0.0","","0.0","0.0","0.0","","999.0","16271"
"Rubén Tejada","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".294",".317",".611",".271","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","5519"
"Cory Spangenberg","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".289",".353",".642",".281","72","","0.0","0.0","","0.0","0.0","0.0","","999.0","12294"
"Dee Strange-Gordon","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".257",".290",".342",".632",".276","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","8203"
"Cristhian Adames","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".285",".336",".621",".273","70","","0.0","0.0","","0.0","0.0","0.0","","999.0","6013"
"Wilmer Difo","","31","122","110","26","4","1","2","12","11","10","28","1","1","0","",".239",".303",".345",".647",".285","78","","0.0","-0.2","","-3.4","-0.7","0.0","","999.0","14320"
"Daniel Descalso","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".288",".314",".602",".270","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","8392"
"Gordon Beckham","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".269",".303",".572",".255","63","","0.0","0.0","","0.0","0.0","0.0","","999.0","9015"
"Yangervis Solarte","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".273",".353",".625",".272","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","5352"
"Tzu-Wei Lin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".285",".329",".614",".271","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","14678"
"Luis Marté","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".253",".315",".568",".248","53","","0.0","0.0","","-0.1","0.0","0.0","","999.0","14515"
"Derek Dietrich","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".295",".351",".646",".286","78","","0.0","0.0","","0.0","0.0","0.0","","999.0","10542"
"Alex De Goti","HOU","8","33","30","6","1","0","1","3","3","2","8","0","0","0","",".218",".282",".327",".609",".269","70","","0.0","-0.2","","-1.2","0.1","0.0","","999.0","19477"
"Eduardo Núñez","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".262",".335",".597",".260","66","","0.0","0.0","","0.0","0.0","0.0","","999.0","6848"
"Jake Hager","","5","20","18","4","1","0","0","2","2","1","5","0","0","0","",".215",".272",".346",".618",".270","65","","0.0","0.0","","-0.9","0.1","0.0","","999.0","12198"
"Trent Giambrone","CHC","3","13","12","2","0","0","0","1","1","1","4","0","0","0","",".203",".266",".328",".593",".260","59","","0.0","0.0","","-0.7","0.0","0.0","","999.0","19250"
"Keston Hiura","MIL","71","300","267","61","13","1","11","35","37","23","98","6","4","2","",".229",".304",".413",".716",".309","91","","-0.1","0.2","","-3.6","-6.8","0.0","","446.0","20003"
