"PlayerName","NFBC_ADP","playerid"
"Jorge Alcala",378.54,"19459"
"Josh Harrison",380.15,"8202"
"Jorge Alfaro",381.54,"12180"
"Tony Kemp",382.85,"14894"
"Sam Hilliard",384.15,"17954"
"Jose Miranda",384.85,NA
"Tyrone Taylor",386.15,"13675"
"Chad Green",388.08,"15552"
"Nico Hoerner",388.85,"21479"
"Brady Singer",390.23,"25377"
"Anthony Bender",390.54,"19742"
"Jonathan Loaisiga ",390.54,NA
"Domingo German",391,NA
"Chris Flexen",392.23,"13896"
"Chas McCormick",393.31,"19599"
"Tucker Barnhart",393.69,"10200"
"Victor Robles",395.23,"18363"
"Clint Frazier",395.54,"15983"
"Robert Suarez",396.69,"sa869798"
"Dinelson Lamet",397.31,"17186"
"Patrick Corbin",397.31,"9323"
"Dakota Hudson",399.38,"19206"
"Reid Detmers",399.38,"27468"
"Jorge Mateo",399.77,"17273"
"Carlos Estevez",401.62,NA
"Adrian Houser",403.85,"12718"
"Drew Steckenrider",404.08,"18806"
"Michael Pineda",404.69,"5372"
"Darin Ruf",405.69,"9929"
"Luis Torrens",408.62,"15905"
"Nick Senzel",409.92,"19293"
"Michael A. Taylor",410.62,"11489"
"J.D. Davis",411.92,"16219"
"Hunter Greene",412.08,"sa3005315"
"Pierce Johnson",412.46,"13435"
"Rich Hill",414.62,"4806"
"Paul DeJong",422.54,"18015"
"Keston Hiura",423.62,"20003"
"Roansy Contreras",425.08,"22810"
"Christian Walker",425.54,"13419"
"James Karinchak",426.23,"20151"
"Luke Weaver",426.77,"16918"
"Dylan Bundy",427.54,"12917"
"Didi Gregorius",428.85,"6012"
"Bradley Zimmer",429,"16221"
"Tyler Wade",429.15,"15730"
"Bobby Bradley",432.15,"17278"
"Mike Minor",432.92,"10021"
"Bryan De La Cruz",433,"19600"
"Kole Calhoun",434.15,"11200"
"MJ Melendez",435.23,"sa3004139"
"Wade Miley",437.23,"8779"
"Joc Pederson",438.15,"11899"
