"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Roberto Pérez","PIT","104","397","350","72","12","1","11","38","40","39","123","3","1","0","",".204",".288",".337",".625",".277","72","","0.8","","496.3","2900"
"Yadier Molina","STL","107","417","379","92","18","0","10","42","45","22","69","4","2","1","",".242",".289",".369",".658",".285","80","","0.8","","298.7","7007"
"Jacob Nottingham","BAL","52","181","163","34","7","0","6","19","20","13","61","4","1","0","",".207",".280",".371",".652",".284","76","","0.7","","600.4","16448"
"Austin Allen","OAK","54","181","167","37","8","0","5","17","19","11","47","2","0","0","",".223",".276",".366",".642",".277","78","","0.7","","599.9","18083"
"Zack Collins","CHW","41","150","128","26","5","0","6","17","18","20","48","1","0","0","",".201",".314",".383",".697",".306","94","","0.7","","592.7","19181"
"Wilson Ramos","","48","176","161","41","6","0","6","19","21","12","34","1","0","0","",".255",".309",".400",".709",".307","92","","0.7","","600.8","1433"
"Stephen Vogt","","41","142","126","27","6","1","5","15","16","13","34","1","1","0","",".217",".292",".383",".675",".291","82","","0.7","","999.0","5000"
"Pedro Severino","MIL","81","302","273","64","11","0","11","34","36","24","71","3","1","0","",".234",".301",".401",".702",".303","87","","0.6","","476.4","14523"
"Luis Torrens","SEA","84","319","290","69","13","1","11","35","37","24","78","2","0","0","",".238",".300",".403",".703",".303","96","","0.6","","396.2","15905"
"Tomás Nido","NYM","56","195","182","42","8","0","5","19","22","10","48","2","0","0","",".229",".273",".363",".636",".274","75","","0.5","","600.8","13755"
"Robinson Chirinos","","33","112","96","20","4","0","4","13","13","11","35","3","0","0","",".211",".310",".380",".690",".303","90","","0.5","","598.0","3142"
"Dom Nuñez","COL","68","248","216","44","9","1","10","28","31","27","74","3","1","0","",".206",".298",".392",".690",".298","72","","0.4","","575.4","15055"
"Jose Trevino","TEX","80","293","275","62","12","0","7","27","30","14","56","1","1","0","",".227",".266",".351",".617",".266","67","","0.4","","584.0","16725"
"Nick Fortes","MIA","29","101","92","22","4","0","2","10","10","7","18","1","1","0","",".237",".299",".370",".669",".291","84","","0.4","","592.5","21538"
"Cam Gallagher","KCR","30","104","94","22","4","0","2","9","10","7","19","1","0","0","",".233",".293",".334",".628",".276","71","","0.4","","600.1","12981"
"Andrew Knapp","CIN","52","172","152","32","6","1","4","19","16","16","56","2","1","0","",".211",".294",".342",".636",".281","69","","0.4","","600.9","14942"
"Sandy León","CLE","55","189","170","34","6","0","5","17","20","14","52","2","0","0","",".201",".270",".336",".606",".266","66","","0.3","","999.0","5273"
"Eric Haase","DET","89","339","307","65","14","2","14","37","42","27","113","3","1","0","",".213",".282",".407",".689",".296","86","","0.3","","315.8","14111"
"Riley Adams","WSN","77","274","241","51","11","1","8","30","29","25","97","6","0","0","",".211",".300",".362",".662",".292","79","","0.3","","591.1","19864"
"Reese McGuire","TOR","32","111","100","22","5","0","2","11","10","8","24","1","1","0","",".223",".289",".333",".622",".274","67","","0.3","","599.9","15674"
"Luke Maile","MIL","20","66","59","12","2","0","1","6","6","5","19","1","0","0","",".205",".278",".324",".602",".266","65","","0.3","","999.0","13355"
"Jorge Alfaro","SDP","94","354","327","80","14","1","10","41","39","17","111","8","5","2","",".244",".296",".387",".683",".296","87","","0.3","","389.5","12180"
"Seby Zavala","CHW","32","114","104","20","4","0","4","11","13","8","43","1","0","0","",".195",".261",".350",".611",".266","67","","0.2","","598.5","18887"
"Jake Rogers","DET","20","74","66","13","3","0","3","8","8","7","24","1","0","0","",".205",".287",".379",".665",".290","82","","0.2","","600.8","19452"
"Ben Rortvedt","MIN","22","76","69","15","3","0","2","8","8","6","20","1","0","0","",".219",".287",".355",".642",".280","75","","0.2","","999.0","20287"
"William Contreras","ATL","18","70","64","16","3","0","2","8","8","5","18","1","0","0","",".245",".305",".406",".710",".306","88","","0.2","","590.6","20503"
"Kurt Suzuki","","33","122","109","25","5","0","3","13","13","7","22","3","0","0","",".234",".300",".369",".669",".293","83","","0.2","","599.8","8259"
"Alex Jackson","MIA","36","127","114","21","5","0","5","12","14","9","51","3","0","0","",".188",".264",".354",".618",".268","70","","0.2","","999.0","17276"
"Rafael Marchan","PHI","26","93","85","21","4","0","1","9","8","6","15","1","1","0","",".246",".301",".346",".647",".283","74","","0.2","","999.0","21646"
"Luis Campusano","SDP","33","124","113","28","6","0","3","14","14","9","25","1","0","0","",".250",".312",".394",".706",".306","93","","0.2","","999.0","22217"
"Patrick Mazeika","NYM","17","57","51","11","2","0","1","6","6","4","11","1","0","0","",".223",".293",".346",".639",".281","80","","0.2","","999.0","18142"
"Dustin Garneau","DET","12","45","40","8","2","0","2","4","5","4","12","1","0","0","",".204",".279",".371",".649",".283","77","","0.1","","999.0","9433"
"Cooper Hummel","ARI","38","150","130","31","7","1","4","18","16","16","36","3","1","0","",".235",".330",".381",".712",".313","93","","0.1","","999.0","sa918412"
"Garrett Stubbs","PHI","29","91","80","17","4","0","1","9","7","9","20","1","1","0","",".215",".298",".324",".622",".277","70","","0.1","","999.0","18067"
"Austin Romine","","35","119","110","25","4","0","3","12","12","6","34","1","0","0","",".224",".270",".347",".617",".269","67","","0.1","","999.0","5491"
"Tres Barrera","WSN","22","81","73","16","3","0","2","8","8","6","19","1","0","0","",".220",".289",".329",".617",".273","67","","0.1","","999.0","19977"
"Bryan Lavastida","CLE","11","41","37","10","2","0","1","5","4","3","8","0","1","0","",".258",".326",".389",".715",".310","96","","0.1","","999.0","sa3006917"
"Anthony Bemboom","","17","64","57","11","2","0","1","6","5","6","17","1","0","0","",".200",".278",".320",".598",".264","63","","0.1","","999.0","13854"
"Korey Lee","HOU","7","26","23","6","1","0","1","3","3","2","6","0","0","0","",".241",".302",".371",".673",".290","85","","0.1","","999.0","sa3010034"
"Connor Wong","BOS","8","29","27","6","1","0","1","3","3","2","10","0","0","0","",".226",".278",".393",".671",".289","77","","0.1","","999.0","19896"
"Michael Perez","PIT","54","192","172","35","8","0","5","17","20","16","53","2","0","0","",".203",".276",".337",".614",".269","67","","0.1","","999.0","12977"
"Chad Wallach","LAA","12","41","37","7","1","0","1","4","4","4","13","1","0","0","",".197",".278",".335",".612",".270","68","","0.1","","999.0","17161"
"MJ Melendez","KCR","27","106","95","21","5","1","4","12","13","9","32","1","1","0","",".221",".293",".402",".695",".300","87","","0.1","","392.5","sa3004139"
"René Pinto","TBR","6","22","20","4","1","0","1","2","2","1","7","0","0","0","",".222",".274",".360",".633",".275","77","","0.1","","999.0","sa826668"
"Andrew Knizner","STL","58","209","188","44","8","0","5","21","21","16","41","3","0","0","",".233",".302",".352",".654",".286","81","","0.1","","593.5","19514"
"Jose Lobaton","","9","30","27","6","1","0","1","3","3","3","9","0","0","0","",".204",".277",".322",".599",".265","64","","0.1","","999.0","4243"
"Ali Sánchez","STL","11","35","32","8","2","0","0","3","3","2","7","0","0","0","",".241",".289",".339",".628",".274","73","","0.0","","999.0","18551"
"Brett Cumberland","BAL","11","41","35","7","2","0","1","4","4","4","14","2","0","0","",".193",".300",".345",".645",".287","78","","0.0","","999.0","sa915611"
"Payton Henry","MIA","6","23","21","4","1","0","1","2","2","1","8","0","0","0","",".209",".275",".330",".604",".265","68","","0.0","","999.0","22164"
"Jose Herrera","ARI","12","47","42","10","2","0","1","5","5","5","11","0","0","0","",".226",".304",".353",".657",".288","76","","0.0","","999.0","sa830295"
"Sam Huff","TEX","8","30","28","6","1","0","1","3","4","2","11","0","0","0","",".215",".273",".401",".674",".288","82","","0.0","","579.7","22209"
"P.J. Higgins","CHC","6","20","18","4","1","0","0","2","2","2","4","0","0","0","",".224",".294",".329",".623",".276","69","","0.0","","999.0","18433"
"Chadwick Tromp","ATL","7","19","17","4","1","0","1","2","2","1","5","0","0","0","",".222",".271",".364",".635",".275","68","","0.0","","999.0","16953"
